number,enumerator,start,today,agree_to_participate,hh_sex,Femaleheadhh,ageyear,who_is_respondent,headhousemarital,livelihoods_bene,shelterbeneficaries,HighestLevel,hh_sex.1,electricity_connectionR,mosquito_netsR,income_preR,income_postR,incomechange,WorkPaidLastMonthR,WorkUnPaidLastMonthR,farmlandtotal,post_yolanda_main_income_sourceR,TotalNumberIncomeSourcesEmploy,NumberSourcesAll,ChangeIncome,hh_debt,hh_bank_accountR,savings_yeswithoutR,AssetChange,have_a_houseR,currently_living_in,material_construction,why_move_to_location,LocationNoBuildR,land_ownershipr,proof_ownership,house_ownershipr,agreement_land,DamageIndex,damage_posts,damage_roof,damage_walls,damage_others,damage_toilets,shelterbeneficaries.1,totalhectares,hectares1R,agreement_house,occupy_land_yearCat,TotalHouseholdMembers,income_postR.1,AttenWalk,AttenSee,AttenHear,AttenRC,AttenSC,AttenCom,singleHHR,U18HHR,ChildU5R,FiveHHR,attentionR,Over60R,IncomeR,More7R,More10R,VulnerableIndex,water_table,sanitation_ownership,in_or_out,type_of_toilet,septic_tank,ServiceWaterCat,service_water,drinking_water,DrinkWaterCat,handwashing_access,GPS_latitude,GPS_longitude,municipalityname,Mun_Code,barangayname,Bar_Code,GPS_altitude,GPS_precision,toilet_access,sanitation_ownership.1,toilet_access.1
1,benaso,2014-10-10T10:08:00.000+08,10/9/14,yes,male,no,30,head,living_together,#N/A,Core,High School,male,Yes,1,"<2,500","<2,500",Equals,Yes,No,1,agri_labor,1,1,No Change,no,No,No,Equal Assets,Yes,destroyed_no_house,makeshift,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2012 or before,4,"<2,500",No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,2,high,shared_toilet,out,flush_toilet,yes,0 to 5,well,spring,6 to 20,yes,11.15478585,124.8615069,Alang Alang,PH083702000,Astorga,PH083702002,103.9000015,5,yes,shared_toilet,yes
2,prudencio,2014-10-10T10:09:00.000+08,10/9/14,yes,male,no,59,head,living_together,#N/A,Neither,Graduate,male,No,1,"10,001 - 15,000","10,001 - 15,000",Equals,Yes,No,#N/A,govt_employ,1,1,No Change,yes,No,No,More Assets,Yes,new_house,light,#N/A,No,owned,yes,owned,#N/A,8,under_standard,under_standard,under_standard,under_standard,significantly_damaged,Neither,0.015,No,#N/A,2014,1,"10,001 - 15,000",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,low,own_toilet,out,other_toilet,#N/A,More than 20,handpumped,handpumped,More than 20,yes,11.15439115,124.8606782,Alang Alang,PH083702000,Astorga,PH083702002,110.4000015,5,yes,own_toilet,yes
3,soledad,2014-10-10T09:41:00.000+08,10/9/14,yes,male,no,34,head,widowed,Yes,SRA,Elementary,male,No,1,"2,500 - 5,000","2,500 - 5,000",Equals,No,No,#N/A,agri_labor,2,2,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,8,under_standard,under_standard,under_standard,under_standard,no_toilet,SRA,0,No,#N/A,2012 or before,5,"2,500 - 5,000",No,No,No,No,No,No,Yes,No,Yes,Yes,No,No,Yes,No,No,4,high,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,More than 20,yes,11.16343705,124.8676532,Alang Alang,PH083702000,Astorga,PH083702002,109.9000015,5,without,#N/A,without
4,ergina,2014-10-10T09:55:00.000+08,10/9/14,yes,male,no,59,spouse,living_together,#N/A,Core,Graduate,male,Yes,3,"2,500 - 5,000","<2,500",Less than,Yes,No,0.25,agri_labor,1,1,Change,no,No,No,Less Assets,Yes,repaired_house,light,#N/A,No,rented,#N/A,owned,yes_written,9,under_standard,lightly_damaged,under_standard,under_standard,under_standard,Core,0,No,#N/A,#N/A,5,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,own_toilet,out,flush_toilet,yes,More than 20,well,well,More than 20,yes,11.15950016,124.8668335,Alang Alang,PH083702000,Astorga,PH083702002,108.6999969,5,yes,own_toilet,yes
6,gayas,2014-10-08T10:31:00.000+08,10/10/14,yes,male,no,43,spouse,married,#N/A,SRA,High School,male,Yes,2,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,Change,no,No,No,More Assets,Yes,repaired_house,wood,#N/A,No,owned,yes,owned,#N/A,4,to_standard,to_standard,under_standard,under_standard,no_toilet,SRA,0.008,No,#N/A,2012 or before,7,"<2,500",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,#N/A,#N/A,#N/A,#N/A,0 to 5,well,handpumped,6 to 20,without,11.15263851,124.8595738,Alang Alang,PH083702000,Astorga,PH083702002,135.6999969,5,without,#N/A,without
7,santiago,2014-10-10T09:44:00.000+08,10/10/14,yes,male,no,55,spouse,married,#N/A,Core,High School,male,No,2,"2,500 - 5,000","<2,500",Less than,Yes,Yes,#N/A,Maid/Laundry,1,1,Change,no,No,No,Equal Assets,Yes,repaired_house,light,#N/A,No,rented,#N/A,owned,no,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2012 or before,10,"<2,500",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,Yes,No,3,high,own_toilet,out,flush_toilet,no,0 to 5,well,piped,More than 20,without,11.22748809,124.8463186,Alang Alang,PH083702000,Hubang,PH083702024,108.6999969,5,yes,own_toilet,yes
8,olbiron,2014-10-10T09:47:00.000+08,10/10/14,yes,male,no,62,spouse,married,#N/A,Core,Primary,male,Yes,2,"<2,500","<2,500",Equals,Yes,No,1,remittance,0,1,Change,yes,No,No,Less Assets,Yes,destroyed_no_house,makeshift,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_written,18,#N/A,#N/A,#N/A,#N/A,#N/A,Core,0,No,#N/A,2012 or before,2,"<2,500",No,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,3,high,shared_toilet,out,flush_toilet,yes,0 to 5,well,spring,6 to 20,yes,11.22054937,124.8427642,Alang Alang,PH083702000,Hubang,PH083702024,105.1999969,5,yes,shared_toilet,yes
9,gayas,2014-10-10T09:52:00.000+08,10/10/14,yes,male,no,39,head,married,#N/A,Core,High School,male,Yes,2,"<2,500","2,500 - 5,000",Greater,Yes,No,#N/A,agri_labor,1,1,No Change,no,No,No,Less Assets,Yes,new_house,light,#N/A,No,Owned by family member,#N/A,owned,yes_oral,10,under_standard,under_standard,under_standard,under_standard,under_standard,Core,0,No,#N/A,2014,6,"2,500 - 5,000",No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,2,low,shared_toilet,out,flush_toilet,no,0 to 5,well,handpumped,6 to 20,without,11.15286126,124.8595762,Alang Alang,PH083702000,Astorga,PH083702002,125.4000015,5,yes,shared_toilet,yes
10,armada,2014-10-10T09:52:00.000+08,10/10/14,yes,male,no,62,spouse,married,Yes,SRA,Primary,male,No,1,"<2,500","<2,500",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,repaired_house,wood,#N/A,No,Tenant/Relative of Tenant,#N/A,owned,yes_oral,6,under_standard,under_standard,under_standard,none,no_toilet,SRA,0,No,#N/A,#N/A,4,"<2,500",No,No,No,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,No,3,high,own_toilet,out,flush_toilet,no,0 to 5,well,handpumped,0 to 5,without,11.2280343,124.8461428,Alang Alang,PH083702000,Hubang,PH083702024,119,5,yes,own_toilet,yes
11,zartiga,2014-10-10T09:53:00.000+08,10/10/14,yes,male,no,32,head,married,Yes,SRA,High School,male,No,2,"2,500 - 5,000","2,500 - 5,000",Equals,Yes,No,#N/A,agri_labor,1,1,No Change,yes,No,No,Equal Assets,Yes,new_house,wood,#N/A,No,rented,#N/A,owned,yes_oral,4,to_standard,to_standard,under_standard,under_standard,significantly_damaged,SRA,0,No,#N/A,2013,7,"2,500 - 5,000",No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,No,3,low,shared_toilet,out,flush_toilet,no,0 to 5,well,well,6 to 20,without,11.20209447,124.8087883,Alang Alang,PH083702000,Santiago,PH083702043,118.8000031,5,yes,shared_toilet,yes
