Category,Data Description,Variable Name,Data Type,Coding,Notes,,
General,Municipality Name,municipalityname,Categorical,,,,
General,Municipality code from common PHL list,Mun_Code,Categorical,,,,
General,Barangay Name,barangayname,Categorical,,,,
General,Barangay code from common PHL list,Bar_Code,Categorical,,,,
General,Unique beneficary code,hh_id,Numeric,,,,
General,Head of household last name,hh_head_last,Categorical,,,,
General,Head of household first name,hh_head_first,Categorical,,,,
General,Head of household middle name,hh_head_middle,Categorical,,,,
General,Head of household suffix,hh_head_suffix,Categorical,,,,
General,Sex of head of household,hh_sex,Categorical,,,,
General,Female head of household,Femaleheadhh,Categorical,,This is in the export but honestly probably not needed in the map if you have the hh_sex above.,,
General,Highest Level of Eduation of HH members,HighestLevel,Categorical,,,,
General,House has electricity connection,electricity_connectionR,Categorical,Yes; No,,,
General,Number of mosquito nets,mosquito_netsR,Categorical,1 = 1; 2 = 2; 3 = 3; 4 = 4 or more,,,
Livelihoods,Average monthly income in Pesos - Pre Haiyan,income_preR,Categorical,"Average Pesos per month:""<2,500""; ""2,500 - 5,000"";  ""5,001 - 10,000"", ""10,001 - 15,000"", "" >15,000""",,,
Livelihoods,Average monthly income in Pesos - Post Haiyan,income_postR,Categorical,"Average Pesos per month:""<2,500""; ""2,500 - 5,000"";  ""5,001 - 10,000"", ""10,001 - 15,000"", "" >15,000""",,,
Livelihoods,Change in average income pre and post Haiyan,incomechange,Categorical,"""Equals"": Income is equal pre and post; ""Greater"": Income is greater post Haiyan compared to pre; ""Less than"": Income is less than now compared to prior to Haiyan",,,
Livelihoods,At least one person in the household had paid work in the last month,WorkPaidLastMonthR,Categorical,Yes; No,,,
Livelihoods,At least one person in the household had unpaid work in the last month,WorkUnPaidLastMonthR ,Categorical,Yes; No,,,
Livelihoods,Hectares of farmland family has access to,farmlandtotalR,Categorical,,Revised to Categories,,
Livelihoods,Main source of income - Post Haiyan,post_yolanda_main_income_sourceR,Categorical,,,,
Livelihoods,Number of income sources (employment only) per household,TotalNumberIncomeSourcesEmploy,Numeric,,,,
Livelihoods,Number of income sources (all - including family support and remittances) per household,NumberSourcesAll,Numeric,,,,
Livelihoods,Main income source change pre to post Haiyan,ChangeIncome,Categorical,,,,
Livelihoods,Has household debt,hh_debtR,Categorical,,Revised don't know,,
Livelihoods,Household has bank account,hh_bank_accountR,Categorical,Yes; No,,,
